id,bucket_id,name,metadata,created_at,updated_at
1aeb38de-49a4-4af3-9a07-82afb41002ac,log-attachments,logs/2026/08/22/06601d42-d21d-4125-b9b1-6061cd88f1dd.png,"{""eTag"":""\""884304303e6708d7d8bca685daff53b3\"""",""size"":1465697,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T17:30:41.000Z"",""contentLength"":1465697,""httpStatusCode"":200}",2026-08-21 17:30:40.742013+00,2026-08-21 17:30:40.742013+00
d73d7f06-0522-40f0-bb60-5bb4454560bb,log-attachments,logs/2026/08/22/06eb2903-b387-40ae-b435-a8badeb65d05.png,"{""eTag"":""\""2bfcd118717cfdd9cc739645fb0dd08a\"""",""size"":1524358,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T17:18:48.000Z"",""contentLength"":1524358,""httpStatusCode"":200}",2026-08-21 17:18:47.412801+00,2026-08-21 17:18:47.412801+00
3bb29e4b-102e-4404-9c9a-e2ef2139b992,log-attachments,logs/2026/08/22/06f43f21-3ad1-408f-a245-35f24b1d1d82.png,"{""eTag"":""\""2bfcd118717cfdd9cc739645fb0dd08a\"""",""size"":1524358,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T17:30:40.000Z"",""contentLength"":1524358,""httpStatusCode"":200}",2026-08-21 17:30:39.552692+00,2026-08-21 17:30:39.552692+00
e32250e9-1da9-4d1e-88bc-755d871c1927,log-attachments,logs/2026/08/22/07cdf3a3-58d7-46e5-a9d0-6d67291ebb9a.png,"{""eTag"":""\""2bfcd118717cfdd9cc739645fb0dd08a\"""",""size"":1524358,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:25:16.000Z"",""contentLength"":1524358,""httpStatusCode"":200}",2026-08-21 16:25:15.605543+00,2026-08-21 16:25:15.605543+00
2766a4fc-64bd-45bc-872d-11030e379837,log-attachments,logs/2026/08/22/0823df1b-0578-4920-ab66-7f72e2b27011.png,"{""eTag"":""\""414eb99ada2eb520a38e44a0bf43cbf4\"""",""size"":1556109,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:11:32.000Z"",""contentLength"":1556109,""httpStatusCode"":200}",2026-08-21 16:11:31.121674+00,2026-08-21 16:11:31.121674+00
fd9c9e71-e96d-4142-ad7a-f9dbc8960e7c,log-attachments,logs/2026/08/22/0aba21ae-a87b-4773-bc3a-9393be5c4130.pdf,"{""eTag"":""\""e58e9ec07dd16900dfba765b30bd5cf3-2\"""",""size"":18485347,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:13:26.000Z"",""contentLength"":18485347,""httpStatusCode"":200}",2026-08-21 16:13:25.749131+00,2026-08-21 16:13:25.749131+00
8aec6b27-cd4f-468d-ac04-25ac063e8bce,log-attachments,logs/2026/08/22/0ad99689-589d-43f0-8450-1fd3739ee218.png,"{""eTag"":""\""5f612d103a24c30f521c0cb7a1b1e709\"""",""size"":1472088,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T17:18:47.000Z"",""contentLength"":1472088,""httpStatusCode"":200}",2026-08-21 17:18:46.941288+00,2026-08-21 17:18:46.941288+00
14757478-93fc-476d-b196-9987de27ace9,log-attachments,logs/2026/08/22/0f43765f-7bc3-4c70-908d-a425350b9a84.png,"{""eTag"":""\""d6f0369fe9caab10ce763a142f1e3dba\"""",""size"":1675950,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:26:08.000Z"",""contentLength"":1675950,""httpStatusCode"":200}",2026-08-21 16:26:07.573324+00,2026-08-21 16:26:07.573324+00
ab74f206-750a-4a32-b51e-f9ef3c028314,log-attachments,logs/2026/08/22/0f8b518e-8f5e-45a5-98d5-039cde8a2938.png,"{""eTag"":""\""5f612d103a24c30f521c0cb7a1b1e709\"""",""size"":1472088,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:48:46.000Z"",""contentLength"":1472088,""httpStatusCode"":200}",2026-08-21 16:48:45.93208+00,2026-08-21 16:48:45.93208+00
8bd7dc8a-53d2-463c-99bf-6c9fa059cc06,log-attachments,logs/2026/08/22/150a863c-73e7-446b-a3bd-7fb9f45baa30.png,"{""eTag"":""\""5f612d103a24c30f521c0cb7a1b1e709\"""",""size"":1472088,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:46:53.000Z"",""contentLength"":1472088,""httpStatusCode"":200}",2026-08-21 16:46:52.706784+00,2026-08-21 16:46:52.706784+00
